,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,793,3,30,60,2,1,106,0,4,1
Trouser,0,963,2,30,1,1,3,0,0,0
Pullover,12,0,891,12,36,0,48,0,1,0
Dress,4,2,18,930,11,0,35,0,0,0
Coat,0,0,90,60,747,0,100,0,3,0
Sandal,0,0,0,0,0,957,1,31,2,9
Shirt,99,0,62,66,71,1,695,0,5,1
Sneaker,0,0,0,0,0,18,0,961,0,21
Bag,2,0,2,3,1,2,12,0,977,1
Ankle boot,0,0,0,1,1,11,0,39,2,946
